Fake or Real,date,DayOfWeek,word_count_category,mean_word_length,tfidf_sum_top30_true,tfidf_sum_top30_fake,tfidf_sum_top10_grams_real,tfidf_sum_top10_grams_fake
F,2016-12-04 16:52:14,7,"(900.0, 1000.0]",6.198481561822126,0.3097646964373026,3.2555959252796676,0.0,2.0970505770792878
F,2024-02-20 07:53:00,2,"(100.0, 200.0]",6.472222222222222,0.3412759780986741,2.2902991929655987,0.0,1.64921837860564
F,2024-02-16 14:32:04,5,"(-0.001, 100.0]",5.574074074074074,0.5291449233087683,2.108051249685454,0.0,1.3985843873709702
F,2023-11-09 12:35:17,4,"(100.0, 200.0]",7.096774193548387,0.3988942509067272,2.671664893208332,0.0,0.0
F,2023-11-07 06:29:08,2,"(-0.001, 100.0]",7.416666666666667,0.0,1.0,0.0,0.0
F,2023-10-25 21:33:00,3,"(-0.001, 100.0]",4.294117647058823,0.0,2.1015305057178013,0.0,1.0
F,2023-09-20 20:28:10,3,"(-0.001, 100.0]",6.413793103448276,0.7251090124959896,1.7637569245227345,0.0,0.0
F,2023-06-26 10:28:32,1,"(100.0, 200.0]",6.47457627118644,0.2328012703677877,2.554440951572375,0.0,1.0
F,2023-06-01 11:07:47,4,"(-0.001, 100.0]",5.818181818181818,0.0,1.9086674779257746,0.0,1.0
F,2023-03-28 14:58:19,2,"(-0.001, 100.0]",6.666666666666667,0.0,1.9930722635269533,0.0,0.0
F,2022-02-09 10:08:45,3,"(-0.001, 100.0]",5.725,0.0,2.2546521934685266,0.0,1.0
F,2022-02-05 11:29:27,6,"(-0.001, 100.0]",7.225352112676056,0.0,1.7182086543730568,0.0,1.0
F,2022-02-02 21:59:20,3,"(-0.001, 100.0]",6.814814814814815,0.0,2.019626551432766,0.0,1.0
F,2022-01-31 10:59:52,1,"(100.0, 200.0]",5.796511627906977,0.12123655925690952,3.1635200501268432,0.0,1.0
F,2022-01-29 19:17:50,6,"(-0.001, 100.0]",6.075,0.0,2.70044962692629,0.0,0.0
F,2022-01-23 12:13:41,7,"(-0.001, 100.0]",5.7272727272727275,0.0,1.886043632147554,0.0,1.0
F,2021-12-10 03:04:35,5,"(-0.001, 100.0]",5.0,0.0,0.0,0.0,0.0
F,2021-12-01 19:06:48,3,"(-0.001, 100.0]",7.2,0.0,0.0,0.0,0.0
F,2021-11-24 12:03:05,3,"(-0.001, 100.0]",5.911111111111111,0.0,2.203719374933928,0.0,1.0
F,2021-11-17 03:30:50,3,"(-0.001, 100.0]",5.666666666666667,0.0,1.9543013579329789,0.0,1.322662358111527
F,2021-11-09 14:37:17,2,"(-0.001, 100.0]",5.6,0.0,0.0,0.0,0.0
F,2021-11-07 18:49:24,7,"(-0.001, 100.0]",6.653846153846154,0.0,2.2039124277180524,0.0,1.0
F,2021-11-05 22:57:17,5,"(-0.001, 100.0]",5.777777777777778,0.0,0.0,0.0,0.0
F,2021-10-30 17:56:09,6,"(-0.001, 100.0]",6.0,0.0,1.937666018723692,0.0,1.6927809305221606
F,2021-10-29 10:55:30,5,"(-0.001, 100.0]",5.34,0.0,0.0,0.0,0.0
F,2021-10-04 07:44:02,1,"(-0.001, 100.0]",6.487804878048781,0.0,1.988635708569556,0.0,0.0
F,2021-10-01 04:06:41,5,"(100.0, 200.0]",5.6923076923076925,0.0,2.966791965172004,0.0,0.0
F,2021-09-29 23:46:00,3,"(-0.001, 100.0]",5.111111111111111,0.0,1.0,0.0,0.0
F,2021-09-08 21:29:04,3,"(100.0, 200.0]",6.675438596491228,0.0,2.4523946854038146,0.0,0.0
F,2021-09-02 20:02:56,4,"(-0.001, 100.0]",7.285714285714286,0.7790846963357086,1.8429209024101465,0.0,1.3764352098588568
F,2021-09-02 00:24:21,4,"(-0.001, 100.0]",6.916666666666667,0.0,0.0,0.0,0.0
F,2021-08-21 13:54:16,6,"(-0.001, 100.0]",5.923076923076923,0.0,1.3756357020745962,0.0,0.0
F,2021-08-21 05:21:10,6,"(-0.001, 100.0]",6.273972602739726,0.0,2.267098526546712,0.0,0.0
F,2021-08-11 16:05:12,3,"(-0.001, 100.0]",5.2,0.0,0.0,0.0,0.0
F,2021-08-08 08:59:54,7,"(100.0, 200.0]",6.477064220183486,0.0,2.695746773738618,0.0,1.0
F,2021-07-29 21:05:38,4,"(-0.001, 100.0]",6.1568627450980395,0.0,1.4699326124551892,0.0,0.0
F,2021-07-29 15:02:19,4,"(200.0, 300.0]",7.271111111111111,0.2449401389375515,2.3248717250561044,0.0,1.0
F,2021-07-15 16:09:58,4,"(-0.001, 100.0]",5.458333333333333,0.0,1.0,0.0,0.0
F,2021-07-14 18:12:58,3,"(-0.001, 100.0]",7.486486486486487,0.0,2.082096686489007,0.0,0.0
F,2021-07-14 12:17:05,3,"(-0.001, 100.0]",5.0,0.0,0.0,0.0,0.0
F,2021-07-08 04:37:07,4,"(-0.001, 100.0]",5.928571428571429,0.0,1.0,0.0,0.0
F,2021-07-06 02:11:55,2,"(-0.001, 100.0]",4.884615384615385,0.0,1.4129346898649944,0.0,0.0
F,2021-07-03 14:41:37,6,"(-0.001, 100.0]",6.365853658536586,0.0,1.0,0.0,0.0
F,2021-06-27 16:13:05,7,"(-0.001, 100.0]",5.69811320754717,0.6504551353362203,1.290249682806015,0.0,0.0
F,2021-06-25 22:28:56,5,"(-0.001, 100.0]",5.833333333333333,0.0,1.0,0.0,0.0
F,2021-06-25 22:47:26,5,"(-0.001, 100.0]",6.258064516129032,0.0,1.708386537229643,0.0,0.0
F,2021-05-21 13:00:19,5,"(-0.001, 100.0]",6.428571428571429,0.0,2.5467704526480475,0.0,1.0
F,2021-05-07 08:00:20,5,"(100.0, 200.0]",5.701986754966887,0.0,3.056590532915473,0.0,1.0
F,2021-04-30 02:30:17,5,"(-0.001, 100.0]",5.434782608695652,0.5286223188647396,1.4599526489869004,0.0,0.0
F,2021-04-29 13:26:54,4,"(-0.001, 100.0]",5.818181818181818,0.0,1.4097362184555062,0.0,0.0
F,2021-04-29 01:27:20,4,"(-0.001, 100.0]",5.6,0.0,0.0,0.0,0.0
F,2021-04-26 16:58:30,1,"(-0.001, 100.0]",5.375,0.0,1.0,0.0,0.0
F,2021-04-25 18:38:52,7,"(-0.001, 100.0]",5.0,0.0,1.0,0.0,0.0
F,2021-04-21 16:11:46,3,"(100.0, 200.0]",6.3931623931623935,0.0,2.178894855055858,0.0,0.0
F,2021-04-20 08:43:44,2,"(-0.001, 100.0]",7.5,0.0,1.955805919917207,0.0,0.0
F,2021-04-17 08:55:15,6,"(-0.001, 100.0]",5.7272727272727275,0.0,1.6981227869067617,0.0,1.3357379827406108
F,2021-04-08 17:02:22,4,"(-0.001, 100.0]",6.382022471910112,0.0,2.7669401228822346,0.0,1.0
F,2021-04-04 19:02:17,7,"(-0.001, 100.0]",5.142857142857143,0.0,1.3729315094991028,0.0,1.3357379827406108
F,2021-03-26 01:08:29,5,"(-0.001, 100.0]",6.133333333333334,0.0,2.522417273247118,0.0,1.3828252783625201
F,2021-03-23 00:58:07,2,"(-0.001, 100.0]",6.521739130434782,0.0,1.4110232247514098,0.0,1.0
F,2021-03-14 20:19:02,7,"(-0.001, 100.0]",6.777777777777778,0.0,1.9658863515219847,0.0,1.0
F,2021-03-09 15:08:24,2,"(-0.001, 100.0]",5.857142857142857,0.0,1.3206934887521076,0.0,0.0
F,2021-03-06 08:57:50,6,"(-0.001, 100.0]",4.090909090909091,0.0,1.7837056232625579,0.0,1.0
F,2021-03-05 16:17:55,5,"(-0.001, 100.0]",5.92,0.0,1.9705316649725424,0.0,1.0
F,2021-03-04 15:40:11,4,"(-0.001, 100.0]",5.901639344262295,0.0,2.482911798618467,0.0,1.0
F,2021-03-04 21:31:45,4,"(-0.001, 100.0]",6.333333333333333,0.0,1.318995328026729,0.0,0.0
F,2021-03-01 11:45:09,1,"(-0.001, 100.0]",5.8,0.0,0.0,0.0,0.0
F,2021-02-23 17:29:21,2,"(100.0, 200.0]",6.114942528735632,0.24080963514395012,2.459977316250191,0.0,0.0
F,2021-02-23 04:49:06,2,"(-0.001, 100.0]",6.5,0.0,0.0,0.0,0.0
F,2021-02-22 23:08:36,1,"(-0.001, 100.0]",6.142857142857143,0.0,0.0,0.0,0.0
F,2021-02-19 19:40:59,5,"(-0.001, 100.0]",5.266666666666667,0.0,1.6868258762124202,0.0,1.0
F,2021-02-17 14:30:05,3,"(-0.001, 100.0]",6.532258064516129,0.0,1.6048059905889098,0.0,1.4123322821668072
F,2021-02-16 17:48:27,2,"(100.0, 200.0]",6.661417322834645,0.0,1.7287646156236616,0.0,0.0
F,2021-02-16 22:05:06,2,"(-0.001, 100.0]",6.634920634920635,0.5988399398454486,1.7286780254403715,0.0,0.0
F,2021-02-16 12:00:52,2,"(-0.001, 100.0]",6.394736842105263,0.0,2.1426686440595346,0.0,1.0
F,2021-02-16 11:58:22,2,"(-0.001, 100.0]",5.611111111111111,0.0,1.7061995753186097,0.0,1.0
F,2021-02-14 18:50:23,7,"(-0.001, 100.0]",8.0,0.0,1.6973651223374717,0.0,0.0
F,2021-02-13 18:31:48,6,"(-0.001, 100.0]",5.766666666666667,0.0,1.6270823659993852,0.0,1.0
F,2021-02-11 04:33:55,4,"(-0.001, 100.0]",5.6521739130434785,0.0,1.899826284439519,0.0,1.0
F,2021-02-11 13:43:14,4,"(-0.001, 100.0]",6.580645161290323,0.0,1.648184076683556,0.0,1.3985843873709702
F,2021-02-07 23:52:08,7,"(200.0, 300.0]",6.103305785123967,0.33561013427636044,3.1128822194081978,0.0,0.0
F,2021-02-06 18:27:18,6,"(-0.001, 100.0]",5.5625,0.0,2.0688842200254993,0.0,1.0
F,2021-02-01 07:33:44,1,"(200.0, 300.0]",5.970588235294118,0.18405203508387827,3.046539878375566,0.0,1.804109438653546
F,2021-01-23 22:08:33,6,"(-0.001, 100.0]",5.95,0.0,1.4141268628014925,0.0,0.0
F,2021-01-23 10:56:15,6,"(-0.001, 100.0]",6.233333333333333,0.0,2.05548594327999,0.0,1.0
F,2021-01-16 09:32:39,6,"(-0.001, 100.0]",5.65,0.0,1.0,0.0,0.0
F,2021-01-15 21:21:10,5,"(-0.001, 100.0]",5.361702127659575,0.44907425691601666,2.7569436775074005,0.0,1.350112664898988
F,2021-01-10 14:04:25,7,"(-0.001, 100.0]",6.093333333333334,0.2423365062527803,2.3575838028829623,0.0,1.3329204018076197
F,2021-01-08 20:37:05,5,"(400.0, 500.0]",6.004761904761905,0.29394117371394124,3.3470992046281602,0.0,1.0
F,2021-01-09 03:04:39,6,"(-0.001, 100.0]",6.214285714285714,0.0,1.0,0.0,0.0
F,2021-01-07 07:45:59,4,"(-0.001, 100.0]",6.388888888888889,0.0,0.0,0.0,1.0
F,2021-01-05 09:48:08,2,"(-0.001, 100.0]",5.826086956521739,0.0,1.4080053085555246,0.0,1.0
F,2020-12-30 08:54:47,3,"(-0.001, 100.0]",5.846153846153846,0.0,0.0,0.0,0.0
F,2020-12-29 18:37:17,2,"(-0.001, 100.0]",5.170731707317073,0.0,2.6279960146850083,0.0,1.0
F,2020-12-26 16:32:50,6,"(200.0, 300.0]",5.840182648401827,0.1959928997414299,3.138327962608018,0.0,1.4130191443142204
F,2020-12-22 20:53:40,2,"(-0.001, 100.0]",6.232558139534884,0.0,2.3959193617905816,0.0,1.0
F,2020-12-21 06:43:12,1,"(-0.001, 100.0]",5.588235294117647,0.0,1.3588116015655025,0.0,0.0
F,2020-12-11 22:33:05,5,"(100.0, 200.0]",6.287292817679558,0.0,2.436826076677347,0.0,0.0
F,2020-12-11 22:08:49,5,"(-0.001, 100.0]",6.6,0.0,1.4136436357707074,0.0,0.0
F,2020-12-10 16:48:32,4,"(-0.001, 100.0]",4.0,0.0,1.4080053085555246,0.0,1.0
F,2020-12-09 17:36:26,3,"(100.0, 200.0]",6.313186813186813,0.6306854155165508,1.0974732340873319,0.0,1.0
F,2020-12-03 04:46:28,4,"(400.0, 500.0]",6.353808353808354,0.2477204119052872,3.0818305681334333,0.0,1.3376826452012347
F,2020-11-30 00:00:55,1,"(-0.001, 100.0]",5.676470588235294,0.0,2.133621081377601,0.0,0.0
F,2020-11-27 16:44:26,5,"(100.0, 200.0]",6.125,0.0,3.0656465199188947,0.0,0.0
F,2020-11-23 20:15:23,1,"(-0.001, 100.0]",8.0,0.0,0.0,0.0,0.0
F,2020-11-23 10:21:47,1,"(-0.001, 100.0]",5.833333333333333,0.0,1.0,0.0,0.0
F,2020-11-13 23:36:34,5,"(-0.001, 100.0]",6.8125,0.0,1.2343442008736507,0.0,0.0
F,2020-11-08 16:55:03,7,"(-0.001, 100.0]",5.0,0.0,0.0,0.0,0.0
F,2020-11-07 14:50:30,6,"(-0.001, 100.0]",5.279411764705882,0.0,2.6901497658769857,0.0,1.4063710402442229
F,2020-11-05 20:52:05,4,"(-0.001, 100.0]",5.352941176470588,0.0,1.0,0.0,0.0
F,2020-11-05 19:52:45,4,"(-0.001, 100.0]",6.8,0.0,1.0,0.0,0.0
F,2020-11-06 00:20:55,5,"(100.0, 200.0]",6.6923076923076925,0.0,2.211045539674842,0.0,1.3019489958367336
F,2020-11-03 22:04:35,2,"(-0.001, 100.0]",4.857142857142857,0.8819112190594496,0.6637555684348684,0.0,1.0
F,2020-11-03 14:17:18,2,"(-0.001, 100.0]",5.68,0.0,1.6599532824086558,0.0,1.402730028101383
F,2020-11-02 16:30:02,1,"(-0.001, 100.0]",6.555555555555555,0.49181961463143775,1.9906158032410302,0.0,0.0
F,2020-10-31 13:32:16,6,"(-0.001, 100.0]",6.507692307692308,0.0,2.7917800762161056,0.0,1.0
F,2020-10-31 15:31:01,6,"(200.0, 300.0]",5.955555555555556,0.1734429228352995,2.9596842695559396,0.0,1.0
F,2020-10-27 18:52:04,2,"(-0.001, 100.0]",7.416666666666667,0.0,2.058179007634906,0.0,0.0
F,2020-10-27 07:44:19,2,"(-0.001, 100.0]",4.666666666666667,0.0,1.4080053085555246,0.0,1.0
F,2020-10-24 00:49:23,6,"(-0.001, 100.0]",5.266666666666667,0.0,1.6450307199397556,0.0,0.0
F,2020-10-22 15:29:59,4,"(-0.001, 100.0]",5.454545454545454,0.0,1.8171595549512662,0.0,0.0
F,2020-10-17 22:48:33,6,"(-0.001, 100.0]",5.333333333333333,0.0,2.573095195653222,0.0,0.0
F,2020-10-14 14:17:02,3,"(-0.001, 100.0]",6.213483146067416,0.0,3.0541881592752036,0.0,1.600045142494463
F,2020-10-14 03:06:52,3,"(-0.001, 100.0]",7.25,0.0,0.0,0.0,0.0
F,2020-09-23 09:23:23,3,"(300.0, 400.0]",5.72700296735905,0.052271743292786374,2.8984803782617012,0.0,1.0
F,2020-09-11 09:38:06,5,"(300.0, 400.0]",6.8107255520504735,0.7992514707015956,2.7833381835429702,0.0,1.277444424247522
F,2020-09-08 12:36:42,2,"(-0.001, 100.0]",6.0,0.0,0.0,0.0,0.0
F,2020-08-30 23:03:31,7,"(-0.001, 100.0]",5.434782608695652,0.0,1.6343167976319184,0.0,1.0
F,2020-08-24 06:52:53,1,"(-0.001, 100.0]",6.620689655172414,0.0,1.7288126463883446,0.0,0.0
